決済日,銘柄,銘柄コード,決済市場,取引,期限,預り,課税,建市場,建日,買/売建,決済数量,建単価,決済単価,建代金,決済代金,新規建手数料,決済手数料,管理費,貸株料,金利,日数,逆日歩,消費税,書換料,諸費用計,受渡日,受渡金額/決済損益
"2023/12/19","日清製粉グループ本社","2002 ","PTS（O）","信用返済買","6ヶ月","特定","申告","東証","2023/12/19","売建","100","1918","1901.1","191800","190110","--","--","--","5","--","1","--","--","--","5","2023/12/21","+1685"
"2023/12/19","日清製粉グループ本社","2002 ","PTS（X）","信用返済買","6ヶ月","特定","申告","東証","2023/12/19","売建","100","1918","1901.2","191800","190120","--","--","--","5","--","1","--","--","--","5","2023/12/21","+1675"
"2023/12/19","電通グループ","4324 ","東証","信用返済買","6ヶ月","特定","申告","東証","2023/12/19","売建","100","3586","3603","358600","360300","--","--","--","10","--","1","--","--","--","10","2023/12/21","-1710"
"2023/12/19","武田薬品工業","4502 ","PTS（X）","信用返済買","6ヶ月","特定","申告","東証","2023/12/19","売建","200","3947","3928.7","789400","785740","--","--","--","23","--","1","--","--","--","23","2023/12/21","+3637"
"2023/12/19","出光興産","5019 ","東証","信用返済買","6ヶ月","特定","申告","東証","2023/12/19","売建","100","3850","3829","385000","382900","--","--","--","11","--","1","--","--","--","11","2023/12/21","+2089"
"2023/12/20","東京エレクトロン","8035 ","PTS（X）","信用返済売","日計り","特定","申告","東証","2023/12/20","買建","100","25545","24996.1","2554500","2499610","--","--","--","--","--","1","--","--","--","--","2023/12/22","-54890"
"2023/12/20","日本郵船","9101 ","東証","信用返済売","日計り","特定","申告","東証","2023/12/20","買建","200","4181","4188","836200","837600","--","--","--","--","--","1","--","--","--","--","2023/12/22","+1400"
"2023/12/20","川崎汽船","9107 ","東証","信用返済売","日計り","特定","申告","東証","2023/12/20","買建","100","5742","5920","574200","592000","--","--","--","--","--","1","--","--","--","--","2023/12/22","+17800"
"2023/12/20","ＮＴＴデータグループ","9613 ","PTS（X）","信用返済売","日計り","特定","申告","東証","2023/12/20","買建","100","1920","1947.1","192000","194710","--","--","--","--","--","1","--","--","--","--","2023/12/22","+2710"
"2023/12/20","ＮＴＴデータグループ","9613 ","PTS（O）","信用返済売","日計り","特定","申告","東証","2023/12/20","買建","200","1920","1947.1","384000","389420","--","--","--","--","--","1","--","--","--","--","2023/12/22","+5420"
"2023/12/20","ＮＴＴデータグループ","9613 ","PTS（O）","信用返済売","日計り","特定","申告","東証","2023/12/20","買建","100","1920","1947.2","192000","194720","--","--","--","--","--","1","--","--","--","--","2023/12/22","+2720"
"2023/12/20","ＮＴＴデータグループ","9613 ","PTS（X）","信用返済売","日計り","特定","申告","東証","2023/12/20","買建","100","1920","1947.2","192000","194720","--","--","--","--","--","1","--","--","--","--","2023/12/22","+2720"
"2023/12/21","日本製紙","3863 ","PTS（O）","信用返済買","日計り","特定","申告","東証","2023/12/21","売建","100","1268","1258.7","126800","125870","--","--","--","--","--","1","--","--","--","--","2023/12/25","+930"
"2023/12/21","日本製紙","3863 ","PTS（X）","信用返済買","日計り","特定","申告","東証","2023/12/21","売建","400","1268","1258.7","507200","503480","--","--","--","--","--","1","--","--","--","--","2023/12/25","+3720"
"2023/12/21","コニカミノルタ","4902 ","東証","信用返済買","日計り","特定","申告","東証","2023/12/21","売建","900","413","404.4","371700","363960","--","--","--","--","--","1","--","--","--","--","2023/12/25","+7740"
"2023/12/21","荏原製作所","6361 ","PTS（O）","信用返済買","日計り","特定","申告","東証","2023/12/21","売建","100","8459","8480.9","845900","848090","--","--","--","--","--","1","--","--","--","--","2023/12/25","-2190"
"2023/12/21","オムロン","6645 ","PTS（J）","信用返済買","日計り","特定","申告","東証","2023/12/21","売建","100","6292","6306.6","629200","630660","--","--","--","--","--","1","--","--","--","--","2023/12/25","-1460"
"2023/12/21","コンコルディア・フィナンシャルグループ","7186 ","PTS（O）","信用返済買","日計り","特定","申告","東証","2023/12/21","売建","100","636.9","636.7","63690","63670","--","--","--","--","--","1","--","--","--","--","2023/12/25","+20"
